,production_companies,revenue
17129,"Atlantik Film, Imaj",0
17130,Nederlandse Programma Stichting (NPS),0
17131,"Wild Bunch, Plymptoons, Bill Plymton Studios",0
17132,Redhouse Productions,0
17133,Centro de Capacitación Cinematográfica (CCC),0
17134,"Marianne Productions, Parc Film",0
17135,Public Broadcasting Service (PBS),0
17136,,0
17137,Nikolaus Geyrhalter Filmproduktion,208475
17138,"Toho Company, Fuji Television Network, Altamira Pictures Inc.",0
17139,"Zweites Deutsches Fernsehen (ZDF), Česká televize, Negativ s.r.o., Stillking Films, Cinemasound",0
17140,,0
17141,Zentropa Entertainments,0
17142,"MEDIA Programme of the European Union, Greek Film Center, Boo Productions, Faliro House Productions, Haos Film, Stefi S.A.",0
17143,"Odessa Film Studios, Goskino",0
17144,B.O.M. Film Productions Co.,0
17145,B.O.M. Film Productions Co.,0
17146,,0
17147,Novella Film,0
17148,,0
17149,"Senator Film Produktion, Calypso Filmproduktion",0
17150,"TS Productions, Micro scope, Phi Group",7103838
17151,"Stephanie Germain Productions, Mandalay Television, Lifetime Television",0
17152,"Mandalay Entertainment, Stephanie Germain Productions, Lifetime Television",0
17153,RKO Radio Pictures,0
17154,Metro-Goldwyn-Mayer (MGM),0
17155,Artista-Filmi,0
17156,,0
17157,"Hemdale Film, Bannon Glen, Endeavour Productions, Fay, Richwite, Shadow Lane, South Street Films",0
17158,,0
17159,"Mandalay Television, Sony Pictures Home Entertainment, Lifetime Television",0
17160,"Degeto Film, Alberta Film Entertainment, Lifetime Television",0
17161,Canal Plus,0
17162,"Mandalay Pictures, TriStar Pictures, Brookwell-McNamara Entertainment, FilmDistrict, Affirm Films",47088990
17163,"Alcon Entertainment, Wild Ocean Films, 2S Films",59901913
17164,,0
17165,,0
17166,,0
17167,"Universal Pictures, Relativity Media, Apatow Productions",288383523
17168,"Screen Gems, Stars Road Entertainment, Buckaroo Entertainment, Michael De Luca Productions, TOKYOPOP",78309131
17169,,0
17170,,0
17171,Universe Films Distribution,0
17172,"Boje Buck Produktion, Norddeutscher Rundfunk (NDR), Biscuit Films, Bophana Production",0
17173,"Gold/Miller Productions, 120dB Films, Paradise Productions, Quantum Entertainment, MovieBank, Galaxy Productions",71904
17174,"SND, Les Films du Kiosque, Canal+, CinéCinéma, Banque Populaire Images 7, Cofimage 18, Agora Films, France 2 Cinéma",0
17175,"Summit Entertainment, Participant Media, Imagenation Abu Dhabi FZ, Anonymous Content",970816
17176,,0
17177,Twentieth Century Fox Film Corporation,0
17178,"Paramount Pictures, The Caddo Company",0
17179,First National Pictures,0
17180,Paramount Pictures,0
17181,Toho Company,0
17182,Toho Company,0
17183,"Twisted Pictures, MP Productions, LightTower Entertainment, Twisted Light Productions",0
17184,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",1045713802
17185,"Gravier Productions, Televisió de Catalunya (TV3), Versátil Cinema, Mediapro, Pontchartrain Productions",151119219
17186,"France 2 Cinéma, Centre National de la Cinématographie, Lucky Red, Eurimages, Wild Bunch, Les Films Du Fleuve, Archipel 35, Canal+, CinéCinéma, France Télévision, Radio Télévision Belge Francophone (RTBF), Programme MEDIA de la Communauté Européenne, Belgacom TV, Région Wallone, Le Tax Shelter du Gouvernement Fédéral de Belgique, Taxshelter. be, Inver Invest, Casa Kafka Pictures, Dexia, Making Of, Soficinéma 7",0
17187,"Cinema Service, Opus Pictures, United Pictures",43059790
17188,RKO Radio Pictures,0
17189,Warner Bros.,0
17190,"Fox Searchlight Pictures, Plan B Entertainment, River Road Entertainment",54674226
17191,"United Artists, Stuart Miller Productions",0
17192,Universal International Pictures (UI),0
17193,Metro-Goldwyn-Mayer (MGM),0
17194,,0
17195,"Hollywood House of Horror, The Shadow Factory Inc.",0
17196,"Legendary Pictures, Living Films, Green Hat Films, Warner Bros.",254455986
17197,"SCOPE Invest, TF1 Films Production, Canal+, CinéCinéma, Pathé, Scope Pictures, Région Wallone, Centre National de la Cinématographie (CNC), Les Productions du Ch'timi",0
17198,Paramount Pictures,0
17199,Metro-Goldwyn-Mayer (MGM),0
17200,Twentieth Century Fox Film Corporation,0
17201,"Zap-O-Matik, Nikovantastic Film",0
17202,,0
17203,"Noise & Light, Inspiration Studios, Screen Australia",0
17204,,0
17205,"UK Film Council, Screen Yorkshire, Rotterdam Media Fund, Centre National de la Cinématographie (CNC), Fonds Sud Cinéma, Sundance Institute, The, Netherlands Fund for Film, CRM-114, Human Film, Human Film NL, Pyramedia, Iraq al-Rafidain",0
17206,"Collective Minds Media Company, Microcinema International, Morningstar Entertainment, Brown & Stretic, The Frankfurt Group, Frankfurt Kurnit Klein & Selz",0
17207,,0
17208,Godfather Entertainment,0
17209,"Handmade Films Ltd., Alliance Media & Entertainment, Bela Negi Films",0
17210,"Hofmann & Voges Entertainment, Majestic Filmproduktion, EOS Entertainment, Zweites Deutsches Fernsehen (ZDF), Pampa Production, Huayi Brothers & Taihe Film Investment",0
17211,"Syzygy Productions, Rodger Pictures",0
17212,Toho Company,0
17213,,0
17214,,0
17215,Gaumont British Picture Corporation,0
17216,"Gary Sanchez Productions, Principato-Young Entertainment",563706
17217,"Zespol Filmowy ""Silesia""",0
17218,"Neue Road Movies, Zweites Deutsches Fernsehen (ZDF), ARTE, Eurowide Film Production, The Criterion Collection, Recorded Picture Company (RPC)",14624826
17219,Georgetown Productions Inc.,0
17220,London Film Productions,0
17221,"Gaumont, TF1 Films Production, S.F.P.C.",0
17222,Open Eye Pictures,0
17223,Filbox Producoes,0
17224,"Vertigo Entertainment, Screen Gems",40492759
17225,Fral Spa,0
17226,"Zenshinza Theatre Company, P.C.L. Film Studio",0
17227,,0
17228,Eagle-Lion Films,0
17229,"Kim Ki-Young Production, Hanguk Munye Yeonghwa",0
17230,"Foundation for Filmakers, Televentures",0
17231,"Filmes do Tejo, Les Films de l'Après-Midi, Eddie Saeta S.A.",0
17232,,0
17233,Les films du Worso,0
17234,Fox Film Corporation,0
17235,Radio Télévision Belge Francophone (RTBF),0
17236,,0
17237,"Procirep, Amour Fou Filmproduktion, Österreichischer Rundfunk (ORF), Canal+, Backup Films, Arte France Cinéma, Filmfonds Wien, Centre National de la Cinématographie (CNC), Région Midi-Pyrénées, Région Aquitaine, Les Films à Paulo, Département des Landes",0
17238,Instituto Português de Cinema (IPC),0
17239,Element e Filmproduktion,0
17240,"Kaminski.Stiehm.Film GmbH, Jumping Horse Film",0
17241,,0
17242,,0
17243,"Dschoint Ventschr Filmproduktion AG, Schweizer Fernsehen (FS), Quinte Film GmbH",0
17244,"Nu Image Films, Millennium Films, Dark Harbor Stories",120000
17245,Brandes Films International,0
17246,Metro-Goldwyn-Mayer (MGM),0
17247,Terrafilm,0
17248,Sandrews,0
17249,GS Films,0
17250,Eddie Saeta,0
17251,"BNN TV, Pupkin Film, Woestijnvis, Millstreet Films",0
17252,,0
17253,Sony Pictures Animation,0
17254,"Black Sand Pictures, Soho Screen Productions, Highland Film Group",0
17255,,0
17256,"Capitol Films, Boy in the Box, 2 Bridges Productions, A2 Entertainment Group",7306
17257,"Octagon Films, Sepia Films",0
17258,,0
17259,"Capital Arts Entertainment, Trimark Pictures",0
17260,Warner Bros.,0
17261,"Indigo Film, Medusa Film",4300000
17262,,0
17263,,0
17264,"UK Film Council, Studio Canal, Film4",3964682
17265,"Elixir Films, Filmax Entertainment",4430765
17266,"Emperor Motion Pictures, China Film Group Corporation (CFGC), Beijing Bu Yi Le Hu Film Company",0
17267,"Distracted Media, Zapruder's Other Films, DLSHS",0
17268,,0
17269,,0
17270,The Mirisch Corporation,0
17271,Roberts Pictures Inc.,0
17272,Twentieth Century Fox Film Corporation,0
17273,DreamWorks Animation,665692281
17274,Columbia Films S.A.,0
17275,Metro-Goldwyn-Mayer (MGM),0
17276,,0
17277,"Ingenious Film Partners, Ingenious Media, Twentieth Century Fox Film Corporation, Donners' Company, Dune Entertainment, Dune Entertainment III, Marvel Entertainment, Bad Hat Harry Productions, Big Screen Productions",353624124
17278,"Film4, Film Agency for Wales, Red Hour Films, Warp (Submarine), Warp Films",864659
17279,"Win's Movie Productions Ltd., Samico Films Production Co., Ltd., Golden Harvest Productions",0
17280,Columbia Pictures,0
17281,,0
17282,"Samuel Goldwyn Company, The",0
17283,"Samuel Goldwyn Company, The",0
17284,"United Artists, Edward Small Productions",0
17285,First National Pictures,0
17286,,0
17287,"Marc Platt Productions, Handsomecharlie Films, Is or Isn't Entertainment",102000000
17288,,0
17289,,0
17290,,0
17291,,0
17292,,0
17293,"Lux Digital Pictures, End Films",0
17294,The Caddo Company,0
17295,Pan Vision,0
17296,,0
17297,"Birdsong Pictures, IM Global",2614773
17298,Red Line Studios,0
17299,"Fidelity Films, Rumleyvision, ScreenProjex",0
17300,"Parts and Labor, Olympus Pictures, Focus Features",5332926
17301,"Paramount Pictures, Amblin Entertainment, Bad Robot, K/O Camera Toys",260095987
17302,"Cube Vision, Sweepstake Productions",0
17303,Broken Sky Films,0
17304,,0
17305,Coop 99,0
17306,,0
17307,"Enaproc, Films Domireew, Films Kajoor",0
17308,,0
17309,"Heimatfilm GbR, Westdeutscher Rundfunk (WDR)",0
17310,,0
17311,"ARTE France Cinéma, Why Not Productions",0
17312,Filmstudio Bucuresti,0
17313,Bungei Production Ninjin Club,0
17314,Anouchka Films,0
17315,,0
17316,,0
17317,,0
17318,,0
17319,,0
17320,Sovkino,0
17321,Fox Film Corporation,0
17322,Yerli Film,0
17323,,0
17324,,0
17325,Euro International Films,0
17326,,0
17327,Lila 9th Productions,0
17328,Sateenkaarifilmi Oy,0
17329,"Desperado Film, From Out of Nowhere Productions, Costa Rica Production Support",0
17330,"Canal+, Rézo Films, Contre Prod, Kasso Inc. Productions, Ulysse Films",0
17331,Fox Film Corporation,0
17332,"Films de l'Archer, Caroni Films C.A.",0
17333,,0
17334,,0
17335,"De Line Pictures, Warner Bros., DC Entertainment",219851172
17336,Toho Company,0
17337,,0
17338,"Televisió de Catalunya TV3, Cromosoma TV produccion, Televisión Española TVE",0
17339,Gato Negro Films,10
17340,"Walt Disney Pictures, DisneyToon Studios",0
17341,"Eyeworks Film & TV Drama, Inspire Pictures",0
17342,,0
17343,,0
17344,,1131688
17345,"Twentieth Century Fox Film Corporation, Dune Entertainment, Davis Entertainment, Dune Entertainment III",187361754
17346,"Columbia Pictures, Mosaic Media Group",216197492
17347,Paramount Pictures,0
17348,"Lions Gate Films, The Tyler Perry Company",60072596
17349,Twentieth Century Fox Film Corporation,0
17350,Twentieth Century Fox Film Corporation,0
17351,Metro-Goldwyn-Mayer (MGM),0
17352,Metro-Goldwyn-Mayer (MGM),0
17353,"Paramount Pictures, Amro Productions",0
17354,Walter Wanger Productions,0
17355,"Columbia Pictures, Julian Blaustein Productions Ltd.",0
17356,"Paramount Pictures, Di Bonaventura Pictures, Indochina Productions, Hasbro Studios",1123746996
17357,"Universal Pictures, Playtone Productions, Vendome Pictures",36160375
17358,Mulmur Feed Company,0
17359,"Universal Pictures, Stuber Productions",26121638
17360,"Shooting Gallery, Odessa Motion Picture Corp.",0
17361,Points North Film,0
17362,"Paramount Pictures, Aries Productions, Sujac Productions",0
17363,Metro-Goldwyn-Mayer (MGM),0
17364,Twentieth Century Fox Film Corporation,0
17365,Metro-Goldwyn-Mayer (MGM),0
17366,Edward Small Productions,0
17367,Paramount Pictures,0
17368,"Smokewood Entertainment, Relativity Media",14166853
17369,Thunder Bay Pictures,0
17370,,0
17371,"OneZero Productions, Cinescape Productions, 6140 Productions, Brillhart / Gonzales Productions",0
17372,Adullam Films LLC,0
17373,Universal Pictures,0
17374,Twentieth Century Fox Film Corporation,0
17375,After Dark Films,0
17376,"Verona Produzione, Vides Cinematografica",0
17377,,0
17378,"Chretien, Mancori",0
17379,,0
17380,,0
17381,,0
17382,Flight 33 Productions,0
17383,,0
17384,"Spring Creek Productions, Deuce Three Productions, HBO Films",0
17385,Metro-Goldwyn-Mayer (MGM),0
17386,"Lifetime Television, Grand Productions, Hurry Up Productions, Lee Rose Productions",0
17387,Goff-Kellam Productions,0
17388,,0
17389,,0
17390,"Institut del Cinema Català (ICC), 59 Films, Grupo Cine Arte",0
17391,,0
17392,Shochiku Company,0
17393,"Shochiku Company, Shôchiku Eiga, Shochiku Kinema (Kamata)",0
17394,,0
17395,Koninck Studios,0
17396,Fox Film Corporation,0
17397,,0
17398,"Channel Four Films, Umbrella Films",0
17399,The Harold Lloyd Corporation,0
17400,"Gaumont, Iterfilm",0
17401,Provobis Film,0
17402,Paramount Pictures,0
17403,4321 Productions,0
17404,Rainforest Films,69055695
17405,"X-Filme Creative Pool, ARTE, Westdeutscher Rundfunk (WDR), ARD Degeto Film",2611555
17406,"Why Not Productions, Wild Bunch, Sixteen Films",0
17407,,0
17408,Pan Européenne Production,0
17409,First National Pictures,0
17410,National Filmi Oy,0
17411,,0
17412,,0
17413,"Shochiku Company, Shochiku Kinema (Kamata)",0
17414,,0
17415,,0
17416,,0
17417,"Lookout Films, StoneBrook Entertainment",0
17418,TLA Releasing,0
17419,"Columbia Pictures, Happy Madison Productions, Sony Pictures Releasing, Broken Road Productions, Metro-Goldwyn-Mayer (MGM), Zookeeper Productions, Hey Eddie",169852759
17420,"New Line Cinema, Rat Entertainment",117000000
17421,"NBV Productions, Montauk Films",0
17422,"Depth of Field, Camp Kellner Media",0
17423,"Walt Disney Pictures, Pixar Animation Studios",559852396
17424,BHE Films,0
17425,,0
17426,Baba Arts Limited Productions,0
17427,"Metro-Goldwyn-Mayer (MGM), Russ-Arts",0
17428,"Metro-Goldwyn-Mayer (MGM), Geoffrey Productions",0
17429,,0
17430,Screen Australia,0
17431,Metro-Goldwyn-Mayer (MGM),0
17432,,0
17433,Twentieth Century Fox Film Corporation,0
17434,Metro-Goldwyn-Mayer (MGM),551
17435,"North by Northwest Entertainment, Premiere Picture, A Bigger Boat, FilmNation Entertainment, Echo Lake Entertainment",498974
17436,Warner Bros.,0
17437,,0
17438,"Participant Media, History Films",429766
17439,,0
17440,Universal Pictures,0
17441,Twentieth Century Fox Film Corporation,0
17442,Fox Film Corporation,0
17443,,0
17444,,0
17445,"Warner Bros., The Vitaphone Corporation",0
17446,,0
17447,Metro-Goldwyn-Mayer (MGM),0
17448,"FoxTelecolombia, Fuse Entertainment",0
17449,"Telecom Entertainment Inc., The International Picture Show Company",0
17450,Somera Productions-Flower Film Productions,0
17451,,0
17452,Jeonwonsa Film,0
17453,"Strada Film, Film i Väst",0
17454,GMT Productions,0
17455,,0
17456,,0
17457,Sandrews,0
17458,,0
17459,"Fandango, Rai Cinema",0
17460,"Island World, Shooting Gallery",0
17461,dick clark productions,0
17462,"22 Dicembre, Sezione cinema Edisonvolta",0
17463,,0
17464,,0
17465,SVS Films,0
17466,,0
17467,"Haut et Court, Canal+, Centre National de la Cinématographie (CNC), Media Programme of the European Community, MJBC Foundation",0
17468,National Film Board of Canada (NFB),0
17469,,0
17470,RKO Radio Pictures,0
17471,"MAFILM Stúdió 1, Hungarofilm",0
17472,,0
17473,Mirashin Korea,0
17474,Compagnie Eric Rohmer,0
17475,"Pandora Filmproduktion, 3L Filmverleih, Little Shark Entertainment GmbH, Torus",0
17476,,0
17477,PM Entertainment Group,0
17478,Cinemasia,0
17479,,0
17480,"Maruti International, Reliance BIG Entertainment",0
17481,Warner Home Video,0
17482,UTV Motion Pictures,18035000
17483,,0
17484,,0
17485,,0
17486,MangoFilm,0
17487,,0
17488,"BBC, WNET Channel 13 New York, Rhapsody Films",0
17489,"RKO Radio Pictures, Inc., Walt Disney Productions",0
17490,,0
17491,"RHI Entertainment, De Passe Entertainment, Levinson Productions",0
17492,Goodtimes Enterprises,0
17493,"Dune Entertainment, Regency Enterprises, Fox 2000 Pictures, DiNovi Pictures, Dune Entertainment III, Blossom Films",17425000
17494,,0
17495,"Salty Pictures, Just Singer Entertainment",0
17496,"NFL Films, Intersport Television",0
17497,Splendid Film,14870
17498,"Warner Bros., Heyday Films",1342000000
17499,,223959
17500,"Bold Films, Marc Platt Productions, Odd Lot Entertainment, FilmDistrict, Motel Movies, Newbridge Film Capital",78054825
17501,"France 2 Cinéma, SBS Films, Divali Films",0
17502,"Nordisk Tonefilm, Inter-American Productions, Jerome Balsam Films",0
17503,Vic Films Productions,0
17504,IDG China Media,1332231
17505,"Paramount Pictures, Marvel Studios",370569774
17506,"Lightning Pictures, Planet Productions",0
17507,"Showtime Networks, Spelling Films International",0
17508,Warner Bros.,142851197
17509,"Miramax Films, J&M Entertainment, Los Films Del Camino",0
17510,Metro-Goldwyn-Mayer (MGM),0
17511,"The Rank Organisation, Gainsborough Pictures",0
17512,Metro-Goldwyn-Mayer (MGM),0
17513,"United Artists, Richard A. Rowland Productions",0
17514,Paramount Pictures,0
17515,"Film 4, Color Force",59389433
17516,,0
17517,The Poker House,0
17518,"Capstone Entertainment Group, Vindicated Pictures",0
17519,,0
17520,"Spirit Dance Entertainment, John Wilder Nightwatch Productions, Katherine Company, Feast Productions Limited",0
17521,RKO Radio Pictures,0
17522,RKO Radio Pictures,0
17523,,0
17524,"Sol Lesser Productions, Sequoia Pictures, Gramercy Pictures (II)",0
17525,"UK Film Council, Crescendo Productions, Element Pictures, Irish Film Board, Prescience, Reprisal Films, Aegis Film Fund",19560274
17526,Screen Australia,0
17527,"RCR Media Group, Andale Pictures, Third Street Pictures",0
17528,,0
17529,,0
17530,"Walt Disney Pictures, Walt Disney Animation Studios",14460000
17531,,10967
17532,Modernciné,0
17533,American International Pictures (AIP),0
17534,Hitit,0
17535,"Uco-Film GmbH, Decla-Bioscop AG",0
17536,Cofinova 4,0
17537,"Arte, Canal+, Centre National de la Cinématographie (CNC)",0
17538,Twentieth Century Fox Film Corporation,0
17539,,0
17540,Walt Disney Pictures,12000000
17541,"Italian International Film, Les Films de la Boétie",0
17542,"Österreichischer Rundfunk (ORF), Westdeutscher Rundfunk (WDR), Filmverlag der Autoren, Wim Wenders Stiftung, Telefilm Wien",100
17543,Bavaria Film,0
17544,MAFILM Hunnia Stúdió,0
17545,"Mondial Televisione Film, Adel Films",0
17546,Allan King Associates,0
17547,"CED Productions, Canal+, MK2 Productions, France 3 Cinema",0
17548,Shaw Brothers,0
17549,Cineguild,0
17550,,0
17551,,0
17552,"Vivo Film, Invisible Film",0
17553,Samuel Fuller Productions,0
17554,"CB Films, Arte France, Flach Film",0
17555,"Walt Disney Pictures, Pixar Animation Studios",0
17556,,0
17557,The Global Asylum,0
17558,"Svensk Filmindustri (SF), British Instructional Films (BIF)",0
17559,"Columbia Pictures, Sony Pictures Animation, Kerner Entertainment Company",563749323
17560,,0
17561,"Continental Producciones, Producciones, Nephilim Producciones",0
17562,Athena Productions,0
17563,,0
17564,"Hallmark Entertainment, De Passe Entertainment",0
17565,"Hyde Park Films, platinum studios, Long Distance Films",4634062
17566,Diaphana Films,0
17567,,0
17568,"Quinta Communications, Rotholz Pictures",0
17569,"Castle Rock Entertainment, Screen Gems, Olive Bridge Entertainment",150483765
17570,"Greek Film Center, Studio 217, Theo Angelopoulos Films, Multichoice Hellas-Nova, Classic, Lichtmeer Film GmbH",0
17571,,0
17572,United Artists,0
17573,Columbia Pictures,0
17574,Caruso / Mendelsohn Productions,0
17575,"Resolute Films and Entertainment, 3 Legged Dog Films",0
17576,Copa Productions,0
17577,Twentieth Century Fox Film Corporation,0
17578,,0
17579,"Paramount Pictures, Moonshot Pictures, Movie%26Art, Lereby",0
17580,,0
17581,Authentic Films,0
17582,,0
17583,"Lions Gate Family Entertainment, Relativity Media, Crest Animation Productions",39300000
17584,Hall Bartlett Productions,0
17585,Twentieth Century Fox Film Corporation,0
17586,,0
17587,,0
17588,Trimark Pictures,18
17589,"Columbia Pictures, Rastar Pictures",0
17590,Metro-Goldwyn-Mayer (MGM),0
17591,Walter Wagner Productions,0
17592,"Enlight Pictures, Media Asia Films",48398
17593,Warner Bros.,0
17594,Warner Bros.,0
17595,"Davis-Films, Current Entertainment, Lionsgate, Lipsync Productions, Blitz Films, Kushner/Wyman Productions",741875
17596,Columbia Pictures,0
17597,"TLA Releasing, Giant Films",0
17598,,0
17599,"Propaganda Films, Warner Home Video",0
17600,"O Som e a Fúria, Shellac Films",0
17601,"ICON production, Centrul National al Cinematografiei (CNC)",0
17602,"Alfama Films, Clap Filmes",0
17603,Jeonwonsa Film,0
17604,,0
17605,"Derf Films, Varsity Pictures",0
17606,"Franco London Films, Continental Produzione",0
17607,Filmi Domirev,0
17608,"Alicia Produce, Promico Imagen",0
17609,"Toho Company, Shôchiku Eiga",0
17610,"International Cine Film Corp., V/M Productions",0
17611,Goldwyn Pictures Corporation,0
17612,"Fox International Productions, Wellmade Starm, Popcorn films, Location Incentive Program of Pusan Film Commission, Korea Trade Insurance Corporation, Hong Kong Asia Film Financing Forum, Showbox/Mediaplex",0
17613,Metro-Goldwyn-Mayer (MGM),0
17614,Cattleya,0
17615,,0
17616,Clasa Films Mundiales,0
17617,Moby Dick Films,0
17618,Homegreen Films,0
17619,"Westdeutscher Rundfunk (WDR), Interkerkelijke Omroep Nederland (IKON), Fonds voor de Nederlandse Film",0
17620,,0
17621,Sofar-Film,0
17622,Diaphana Films,0
17623,,0
17624,Al-Ahramm Studios,0
17625,Akson Studio,0
17626,"Sociedad General de Cine (SOGECINE) S.A., Producciones Labarouta, Produccions A Modiño, E.O.P.C.",0
17627,Dimitri De Grunwald Production,0
17628,Thelma Films,0
17629,"The Weinstein Company, Likely Story, Big Beach Films, Yuk Films",17273593
17630,Edison Manufacturing Company,0
17631,,0
17632,"Roxy Film, Infafilm",0
17633,Cinephil,0
17634,,0
17635,,0
17636,American Zoetrope,0
17637,"Island Film Group, Trailblazer Films, Screen East",771499
17638,,0
17639,"Clinica Estetico, Home Box Office (HBO), HBO NYC Productions, Ten in a Car Productions",0
17640,"Moonlighting Films, CC Capital Arts Entertainment SRL",0
17641,"Pronto Film, Evanstone Films Ltd.",0
17642,,0
17643,Muse Entertainment Enterprises,0
17644,,0
17645,Loin Derrière L'Oural,0
17646,"BBC Films, Assassin Films",3867000
17647,Metro-Goldwyn-Mayer (MGM),0
17648,Metro-Goldwyn-Mayer (MGM),0
17649,"Ingenious Film Partners, Ingenious Media, Twentieth Century Fox Film Corporation, Dune Entertainment, Dune Entertainment III, Chernin Entertainment, Big Screen Productions",482860185
17650,Verisimilitude,144633
17651,Metro-Goldwyn-Mayer (MGM),0
17652,"Columbia Pictures Corporation, Delphi IV Productions",41232
17653,Metro-Goldwyn-Mayer (MGM),0
17654,Paramount Pictures,0
17655,,0
17656,UltraFilms,0
17657,HBO Films,0
17658,"Mancantoo Oy, Inxpo Onnico Oy",0
17659,Maymon Film Inc.,0
17660,"Universal Pictures, Original Film, Relativity Media, Big Kid Pictures",75450437
17661,,0
17662,Films Triunfo S.A.,0
17663,,0
17664,"DreamWorks SKG, 1492 Pictures, Participant Productions, Imagenation Abu Dhabi FZ, Reliance Entertainment, Touchstone Pictures",124272124
17665,Columbia Pictures,40547440
17666,Carlmar Film,0
17667,Rainbow Productions,0
17668,"Howard Productions, Samuel Goldwyn Company, The",0
17669,Metro-Goldwyn-Mayer (MGM),0
17670,Bing Crosby Productions,0
17671,Hal Roach Studios,0
17672,"Twentieth Century Fox Film Corporation, Ryan Murphy Productions, Twentieth Century Fox Television",18663238
17673,The Harold Greenberg Fund,0
17674,"Fidélité Productions, TF1 Films Production, Alter Films",0
17675,RKO Radio Pictures,0
17676,Fox Film Corporation,0
17677,"Silverwood Films, iDeal Partners Film Fund, J2 Pictures",1279
17678,"Toho Company, Nikkatsu, Shueisha, Horipro, J Storm, Nippon Television Network Corporation (NTV), Chubu-nippon Broadcasting Company, Hokkaido Broadcasting Co., Fukuoka Broadcasting System (FBS), Gantz Film Partners, Hiroshima Telecasting (HTV), Miyagi Television Broadcasting, Shizuoka Daiichi Television, VAP, The Yomiuri Shimbun, Yomiuri Telecasting Corporation (YTV)",0
17679,,0
17680,Win's Movie Production Limited,0
17681,Columbia Pictures Corporation,0
17682,,0
17683,,0
17684,ICE3,0
17685,"TV-60 Filmproduktion, Clasart Film + TV Produktions GmbH, Goldkind Filmproduktion",0
17686,"New Line Cinema, Practical Pictures, Parallel Zide",157887643
17687,,0
17688,"Wildwood Enterprises, American Film Company",15478800
17689,"New Line Cinema, Mandate Pictures",35387212
17690,Producciones Olmeca,0
17691,,0
17692,Layton Film Productions Inc.,0
17693,Twentieth Century Fox Film Corporation,0
17694,Twentieth Century Fox Film Corporation,0
17695,Shochiku Company,0
17696,Fandango,8220215
17697,"Toei Company, Haruki Kadokawa Films, Kadokawa Publishing Company",0
17698,Kazakhfilm Studios,0
17699,Mon Voisin Productions,1056938
17700,Lunde Film,0
17701,"Agua Films, Catch 23 Entertainment",0
17702,Finecut,0
17703,Dimension Films,85564310
17704,Invicta Filmes,0
17705,,0
17706,Shôchiku Eiga,0
17707,Shôchiku Eiga,0
17708,"Gainsborough Pictures, Sydney Box Productions",834332
17709,Europa Film,0
17710,Inforg Stúdió,0
17711,,0
17712,"Miramax Films, Gran Via Productions, FilmDistrict, Necropia, Tequila Gang",36993168
17713,Touchstone Pictures,24922237
17714,Artists Public Domain,1776935
17715,"Art Theatre Guild, Jinriki Hikoki Sha",0
17716,Sputnik Oy,0
17717,Villealfa Filmproduction Oy,0
17718,"DRO Entertainment, The Last Picture Company, CatchPlay, Corner Store Entertainment, Filmula, Handsomecharlie Films, American Work, Dreamagine Entertainment",382946
17719,PBS,0
17720,,0
17721,,0
17722,Fantefilm,0
17723,,0
17724,"Glass Eye Pix, Belladonna Productions, Off Hollywood Pictures",33245
17725,Snoot Entertainment,621951
17726,"British Film Institute (BFI), New Era",0
17727,"Miramax Films, Marv Films, Pioneer Pictures",45636368
17728,"TF1 Films Production, Canal+, CinéCinéma, Grive Productions, EuropaCorp, A.J.O.Z. Films",60965854
17729,First Thought Films,1339650
17730,"Columbia Pictures Corporation, World Film Services",0
17731,,0
17732,"Chad Troutwine Films, Green Film Company, Human Worldwide, Loki Films",103735
17733,Zero Sum Productions,0
17734,"Paramount Pictures, Incorporated Television Company (ITC), Haworth Productions",0
17735,"Samuel Goldwyn Company, The, Trinity Productions",0
17736,Columbia Pictures Corporation,0
17737,Columbia Pictures Corporation,0
17738,"El Deseo, Televisión Española TVE, FilmNation Entertainment, Canal+ España, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Instituto de Crédito Oficial (ICO), Blue Haze Entertainment",5774854
17739,Ghost House Pictures,0
17740,"Steen Herdel Filmproduktion, EBC Films",0
17741,,0
17742,Virtual Audiovisuais,0
17743,Merchant Pacific Corporation,0
17744,,0
17745,,0
17746,,0
17747,Park Ex Pictures,0
17748,"Gigi Productions, Sneaky Pete Productions",0
17749,"Dark Horse Entertainment, Nu Image Films, Paradox Entertainment, Nimar Studios, Millennium Films, Cinema Vehicle Services",48795021
17750,Tax Credit Finance,0
17751,"Walt Disney Pictures, Rickshaw Productions",10130000
17752,"A&E IndieFilms, Phoenix Wiley",0
17753,Initiate Productions,0
17754,"experiences films, Minds Eye Entertainment, Forecast Pictures, Leomax Productions",0
17755,,0
17756,,0
17757,"Catfish Productions, PCH Film, Weekend Films/Main Street Productions",0
17758,Genie Productions Inc.,0
17759,Golden Harvest Company,0
17760,,0
17761,"ARTE France Cinéma, Homegreen Films, JBA Production, Tarantula, Circe Films, Musée du Louvre",0
17762,,0
17763,Paramount Pictures,0
17764,"BBC Films, Passion Pictures, Red Box Films",0
17765,Metro-Goldwyn-Mayer (MGM),0
17766,Home Box Office (HBO),0
17767,,0
17768,Rojak Films,0
17769,,0
17770,RAI Radiotelevisione Italiana,0
17771,"Tig Productions, All the Way Round, Beacon Classics",0
17772,,0
17773,,0
